,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
222,CNK,Cinemark Holdings Inc,Communication Services,Entertainment,USA,2120000000.0,11.93,17.35,-0.0296,748077.0
223,CNM,Core & Main Inc,Industrials,Industrial Distribution,USA,11380000000.0,27.76,59.21,-0.015600000000000001,460953.0
224,CNP,Centerpoint Energy Inc.,Utilities,Utilities - Regulated Electric,USA,19000000000.0,20.79,29.69,0.0063,972950.0
225,CNQ,Canadian Natural Resources Ltd.,Energy,Oil & Gas E&P,Canada,82690000000.0,15.38,77.22,0.008,389148.0
226,CNX,CNX Resources Corp,Energy,Oil & Gas E&P,USA,3860000000.0,4.59,25.22,0.0155,473344.0
227,COF,Capital One Financial Corp.,Financial,Credit Services,USA,52390000000.0,10.74,137.18,-0.0032,262167.0
228,COHR,Coherent Corp,Technology,Scientific & Technical Instruments,USA,9220000000.0,,60.47,0.0134,610502.0
229,COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges,USA,58850000000.0,47.86,239.66,0.0085,5046763.0
230,COLB,"Columbia Banking System, Inc.",Financial,Banks - Regional,USA,3960000000.0,8.12,18.93,0.0058,331412.0
231,COLD,Americold Realty Trust Inc,Real Estate,REIT - Industrial,USA,7280000000.0,,25.63,0.0103,1174791.0
232,COMP,Compass Inc,Real Estate,Real Estate Services,USA,2109999999.9999998,,4.11,0.0060999999999999995,590301.0
233,COO,"Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,18150000000.0,62.7,91.34,-0.0374,431401.0
234,COP,Conoco Phillips,Energy,Oil & Gas E&P,USA,138850000000.0,13.44,118.72,0.0126,729806.0
235,COR,Cencora Inc.,Healthcare,Medical Distribution,USA,42930000000.0,23.54,215.23,-0.0167,351847.0
236,CORT,Corcept Therapeutics Inc,Healthcare,Biotechnology,USA,3300000000.0,29.9,31.74,0.1532,1582467.0
237,COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,358030000000.0,52.82,807.28,-0.003,693050.0
238,COTY,Coty Inc,Consumer Defensive,Household & Personal Products,USA,9200000000.0,47.07,10.6,0.0052,611926.0
239,CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,Canada,73770000000.0,25.53,79.1,-0.0092,720215.0
240,CPB,Campbell Soup Co.,Consumer Defensive,Packaged Foods,USA,13210000000.0,17.33,44.33,-0.0223,736086.0
241,CPNG,Coupang Inc,Consumer Cyclical,Internet Retail,USA,40310000000.0,32.02,22.55,0.0087,1135218.0
242,CPRI,Capri Holdings Ltd,Consumer Cyclical,Luxury Goods,United Kingdom,3990000000.0,19.17,34.2,-0.0124,365208.0
243,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,51190000000.0,37.3,53.19,-0.015300000000000001,729182.0
244,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,10940000000.0,25.18,102.7,-0.0087,101300.0
245,CRBG,Corebridge Financial Inc.,Financial,Asset Management,USA,18530000000.0,7.98,30.29,-0.0108,315857.0
246,CRDO,Credo Technology Group Holding Ltd,Technology,Communication Equipment,Cayman Islands,3310000000.0,,20.29,0.016,1100550.0
247,CRH,CRH Plc,Basic Materials,Building Materials,Ireland,55530000000.0,20.68,80.37,-0.0192,1847320.0
248,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA,3230000000.0,50.34,11.04,0.0213,486953.0
249,CRM,Salesforce Inc,Technology,Software - Application,USA,262860000000.0,64.36,270.64,-0.0060999999999999995,3333095.0
250,CROX,Crocs Inc,Consumer Cyclical,Footwear & Accessories,USA,9390000000.0,11.97,154.63,0.0383,552467.0
251,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,4680000000.0,,55.09,-0.0027,330305.0
252,CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,85280000000.0,966.03,350.67,-0.0023,1598475.0
253,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,188590000000.0,15.77,46.81,0.0084,5027668.0
254,CSGP,"Costar Group, Inc.",Real Estate,Real Estate Services,USA,34480000000.0,116.84,84.43,-0.0175,424386.0
255,CSX,CSX Corp.,Industrials,Railroads,USA,65959999999.99999,18.54,33.74,-0.0012,2182895.0
256,CTLT,Catalent Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,9870000000.0,,54.52,-0.0055000000000000005,239215.0
257,CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA,20430000000.0,16.01,27.45,0.011899999999999999,781666.0
258,CTRE,CareTrust REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,3590000000.0,49.85,25.26,-0.0045000000000000005,233863.0
259,CTSH,Cognizant Technology Solutions Corp.,Technology,Information Technology Services,USA,33530000000.0,16.2,67.43,-0.013000000000000001,464461.0
260,CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,USA,38550000000.0,70.54,55.31,-0.0036,652923.0
261,CUBE,CubeSmart,Real Estate,REIT - Industrial,USA,9420000000.0,23.24,41.87,-0.0055000000000000005,216421.0
262,CUK,Carnival plc ADR,Consumer Cyclical,Travel Services,United Kingdom,2049999999.9999998,55.04,14.15,0.0347,399971.0
263,CUZ,Cousins Properties Inc.,Real Estate,REIT - Office,USA,3490000000.0,47.15,22.95,0.002,139043.0
264,CVE,Cenovus Energy Inc,Energy,Oil & Gas Integrated,Canada,38820000000.0,11.55,20.82,0.024900000000000002,2204835.0
265,CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,USA,12420000000.0,42.77,106.18,-0.0273,993395.0
266,CVS,CVS Health Corp,Healthcare,Healthcare Plans,USA,68550000000.0,9.6,54.6,-0.0169,3933381.0
267,CVX,Chevron Corp.,Energy,Oil & Gas Integrated,USA,293220000000.0,14.64,159.1,0.0086,1464469.0
268,CWAN,Clearwater Analytics Holdings Inc,Technology,Software - Application,USA,4139999999.9999995,,18.99,-0.006,223400.0
269,CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,United Kingdom,2480000000.0,208.88,10.82,0.0028000000000000004,527614.0
270,CX,Cemex S.A.B. De C.V. ADR,Basic Materials,Building Materials,Mexico,11540000000.0,52.99,7.63,0.0027,817738.0
271,CXM,Sprinklr Inc,Technology,Software - Application,USA,3240000000.0,65.54,11.98,-0.0066,247908.0
272,CYTK,Cytokinetics Inc,Healthcare,Biotechnology,USA,4950000000.0,,47.25,-0.0217,1041804.0
273,CZR,Caesars Entertainment Inc,Consumer Cyclical,Resorts & Casinos,USA,7310000000.0,9.5,33.79,0.0048,900327.0
274,D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,USA,44480000000.0,27.94,53.07,0.0053,1157943.0
275,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,33020000000.000004,6.57,51.17,-0.0128,1466944.0
276,DAN,Dana Inc,Consumer Cyclical,Auto Parts,USA,2040000000.0,156.17,14.04,0.0029,167515.0
277,DAR,Darling Ingredients Inc,Consumer Defensive,Packaged Foods,USA,6680000000.0,12.48,41.79,0.024300000000000002,460107.0
278,DASH,DoorDash Inc,Communication Services,Internet Content & Information,USA,46120000000.0,,112.79,-0.0004,982497.0
279,DAY,Dayforce Inc,Technology,Software - Application,USA,8710000000.0,169.06,55.13,-0.0183,469477.0
280,DB,Deutsche Bank AG,Financial,Banks - Regional,Germany,33680000000.0,7.26,17.06,0.0006,430697.0
281,DBRG,DigitalBridge Group Inc,Real Estate,Real Estate Services,USA,2300000000.0,7.91,13.26,0.022799999999999997,368817.0
282,DBX,Dropbox Inc,Technology,Software - Infrastructure,USA,7550000000.0,15.19,22.85,-0.0015,644850.0
283,DCPH,Deciphera Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2210000000.0,,25.51,0.0002,339870.0
284,DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals,USA,34270000000.000004,100.88,81.97,0.0105,1520863.0
285,DDOG,Datadog Inc,Technology,Software - Application,USA,41210000000.0,379.34,123.21,-0.0032,495146.0
286,DE,Deere & Co.,Industrials,Farm & Heavy Construction Machinery,USA,103260000000.0,11.17,370.96,-0.010700000000000001,407826.0
287,DEI,Douglas Emmett Inc,Real Estate,REIT - Office,USA,2250000000.0,,13.47,0.0070999999999999995,140346.0
288,DELL,Dell Technologies Inc,Technology,Computer Hardware,USA,119510000000.0,38.34,167.43,0.0453,9582828.0
289,DFS,Discover Financial Services,Financial,Credit Services,USA,30590000000.0,13.93,122.06,-0.009399999999999999,163837.0
290,DG,Dollar General Corp.,Consumer Defensive,Discount Stores,USA,31570000000.0,19.03,143.71,-0.0105,959198.0
291,DHI,D.R. Horton Inc.,Consumer Cyclical,Residential Construction,USA,47370000000.0,9.79,143.85,-0.0053,237264.0
292,DHR,Danaher Corp.,Healthcare,Diagnostics & Research,USA,190780000000.0,43.67,257.57,-0.019799999999999998,1158648.0
293,DINO,HF Sinclair Corp.,Energy,Oil & Gas Refining & Marketing,USA,10880000000.0,7.01,56.64,0.009399999999999999,174307.0
294,DIS,Walt Disney Co,Communication Services,Entertainment,USA,187000000000.0,111.13,102.57,0.008,2547875.0
295,DJT,Trump Media & Technology Group Corp.,Communication Services,Internet Content & Information,USA,8340000000.0,,47.2,0.030299999999999997,962216.0
296,DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,USA,17050000000.0,,35.8,-0.1229,20155275.0
297,DKS,"Dicks Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,USA,15940000000.0,16.01,194.82,0.0255,568708.0
298,DLO,DLocal Limited,Technology,Software - Infrastructure,USA,2780000000.0,19.54,9.38,-0.0194,758849.0
299,DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,USA,46360000000.0,40.25,143.57,0.005600000000000001,188581.0
300,DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,24960000000.0,,114.5,-0.0075,530152.0
301,DNB,Dun & Bradstreet Holdings Inc,Financial,Financial Data & Stock Exchanges,USA,4400000000.0,,9.93,-0.01,1413946.0
302,DNLI,Denali Therapeutics Inc,Healthcare,Biotechnology,USA,2730000000.0,,19.12,-0.004699999999999999,127140.0
303,DNN,Denison Mines Corp,Energy,Uranium,Canada,2120000000.0,53.98,2.38,0.023700000000000002,5431517.0
304,DOC,Healthpeak Properties Inc.,Real Estate,REIT - Healthcare Facilities,USA,13460000000.0,54.38,19.12,0.0013,452383.0
305,DOCN,DigitalOcean Holdings Inc,Technology,Software - Infrastructure,USA,3400000000.0,72.1,37.32,0.031200000000000002,147967.0
306,DOCS,Doximity Inc,Healthcare,Health Information Services,USA,5220000000.0,39.19,28.27,0.0158,406818.0
307,DOCU,DocuSign Inc,Technology,Software - Application,USA,11780000000.0,161.77,57.53,0.0105,318896.0
308,DOW,Dow Inc,Basic Materials,Chemicals,USA,41010000000.0,34.79,58.33,0.0098,573613.0
309,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,17760000000.0,17.45,148.83,0.0083,264723.0
310,DT,Dynatrace Inc,Technology,Software - Application,USA,13790000000.0,89.55,46.38,-0.011699999999999999,473323.0
311,DTE,DTE Energy Co.,Utilities,Utilities - Regulated Electric,USA,23460000000.0,18.54,113.38,0.0037,110547.0
312,DUK,Duke Energy Corp.,Utilities,Utilities - Regulated Electric,USA,78380000000.0,24.57,101.56,-0.006,439156.0
313,DV,DoubleVerify Holdings Inc,Technology,Software - Application,USA,3270000000.0,50.01,19.05,0.0155,328664.0
314,DVN,Devon Energy Corp.,Energy,Oil & Gas E&P,USA,30840000000.0,9.3,48.8,0.013500000000000002,1278604.0
315,DXC,DXC Technology Co,Technology,Information Technology Services,USA,2780000000.0,42.65,15.53,-0.0064,710238.0
316,DXCM,Dexcom Inc,Healthcare,Medical Devices,USA,50380000000.0,81.79,126.69,-0.0053,328956.0
317,DYN,Dyne Therapeutics Inc,Healthcare,Biotechnology,USA,3010000000.0,,30.8,-0.013500000000000002,637572.0
318,EA,"Electronic Arts, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,35310000000.0,28.33,132.55,-0.018600000000000002,1590598.0
319,EAT,"Brinker International, Inc.",Consumer Cyclical,Restaurants,USA,2960000000.0,19.76,66.58,0.0039000000000000003,345215.0
320,EBAY,EBay Inc.,Consumer Cyclical,Internet Retail,USA,27190000000.0,10.73,53.73,-0.0125,2100198.0
321,EBR,Centrais Eletricas Brasileiras S.A. ADR,Utilities,Utilities - Renewable,Brazil,13900000000.0,18.24,7.05,0.0014000000000000002,98824.0
322,EC,Ecopetrol SA ADR,Energy,Oil & Gas Integrated,Colombia,25430000000.0,5.99,12.37,0.0378,1350024.0
323,ECL,"Ecolab, Inc.",Basic Materials,Specialty Chemicals,USA,66010000000.00001,42.78,231.13,-0.013600000000000001,161381.0
324,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,USA,32570000000.0,18.08,94.18,-0.0026,291438.0
325,EDR,Endeavor Group Holdings Inc,Communication Services,Entertainment,USA,8100000000.0,41.94,26.77,0.0002,375459.0
326,EDU,New Oriental Education & Technology Group Inc. ADR,Consumer Defensive,Education & Training Services,China,13440000000.0,43.46,81.18,0.0392,526563.0
327,EGO,Eldorado Gold Corp.,Basic Materials,Gold,Canada,3240000000.0,27.91,15.89,0.0192,297750.0
328,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,28760000000.0,32.85,74.75,0.0023,215776.0
329,EL,"Estee Lauder Cos., Inc.",Consumer Defensive,Household & Personal Products,USA,45140000000.0,70.8,125.88,-0.0014000000000000002,805389.0
330,ELAN,Elanco Animal Health Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,8420000000.0,,17.05,0.0152,1016822.0
331,ELF,e.l.f. Beauty Inc,Consumer Defensive,Household & Personal Products,USA,10510000000.0,84.75,187.93,-0.0182,595037.0
332,ELS,Equity Lifestyle Properties Inc.,Real Estate,REIT - Residential,USA,11530000000.0,33.72,61.84,-0.0002,97292.0
333,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,64739999999.99999,534.32,113.17,-0.0022,385398.0
334,ENB,Enbridge Inc,Energy,Oil & Gas Midstream,Canada,76810000000.0,18.4,36.12,-0.0032,905356.0
335,ENLC,Enlink Midstream LLC,Energy,Oil & Gas Midstream,USA,5820000000.0,36.68,12.9,-0.0012,136806.0
336,ENPH,Enphase Energy Inc,Technology,Solar,USA,17620000000.0,67.08,129.48,0.0344,2212295.0
337,ENTG,Entegris Inc,Technology,Semiconductor Equipment & Materials,USA,20050000000.0,63.95,132.96,0.0051,228153.0
338,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,71790000000.0,9.86,124.92,0.0134,850182.0
339,EPD,Enterprise Products Partners L P,Energy,Oil & Gas Midstream,USA,61140000000.0,11.04,28.16,-0.0019,1173998.0
340,EPRT,Essential Properties Realty Trust Inc,Real Estate,REIT - Diversified,USA,4690000000.0,21.76,26.75,-0.0072,154714.0
341,EQH,Equitable Holdings Inc,Financial,Insurance - Diversified,USA,13260000000.0,12.63,40.77,-0.0054,357499.0
342,EQNR,Equinor ASA ADR,Energy,Oil & Gas Integrated,Norway,85460000000.0,8.94,28.83,0.0171,891838.0
343,EQR,Equity Residential Properties Trust,Real Estate,REIT - Residential,USA,24720000000.0,27.31,65.22,-0.0073,213239.0
344,EQT,EQT Corp,Energy,Oil & Gas E&P,USA,18190000000.0,30.05,41.2,0.0262,1094214.0
345,EQX,Equinox Gold Corp,Basic Materials,Gold,Canada,2180000000.0,,5.65,0.014499999999999999,1295239.0
346,ERF,Enerplus Corporation,Energy,Oil & Gas E&P,Canada,4200000000.0,11.42,20.56,0.0176,1818010.0
347,ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment,Sweden,18280000000.0,,5.95,0.0161,8888807.0
348,ERJ,Embraer S.A. ADR,Industrials,Aerospace & Defense,Brazil,5340000000.0,20.39,29.1,-0.0007000000000000001,222451.0
349,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,20300000000.0,,57.62,0.0016,286907.0
350,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA,5900000000.0,46.03,24.38,0.0012,432957.0
351,ESTC,Elastic N.V,Technology,Software - Application,USA,10210000000.0,221.26,101.31,-0.0346,359317.0
352,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,51970000000.0,14.19,15.42,-0.0013,3883021.0
353,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,135949999999.99998,40.13,340.04,-0.0025,524304.0
354,ETR,Entergy Corp.,Utilities,Utilities - Regulated Electric,USA,23190000000.0,10.88,108.6,-0.005,301979.0
355,ETRN,Equitrans Midstream Corporation,Energy,Oil & Gas Midstream,USA,6190000000.0,15.92,14.28,0.0233,1639134.0
356,ETSY,Etsy Inc,Consumer Cyclical,Internet Retail,USA,7090000000.0,27.64,60.61,-0.0002,698970.0
357,EURN,Euronav NV,Energy,Oil & Gas Midstream,Belgium,3150000000.0,2.75,16.14,-0.0031,110294.0
358,EVH,Evolent Health Inc,Healthcare,Health Information Services,USA,2710000000.0,,23.35,0.0032,156271.0
359,EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric,USA,12280000000.0,17.28,53.39,-0.0007000000000000001,208515.0
360,EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,USA,52270000000.0,37.28,86.74,-0.0141,413417.0
361,EWBC,"East West Bancorp, Inc.",Financial,Banks - Regional,USA,10330000000.0,9.34,74.24,0.0060999999999999995,155138.0
362,EXAS,Exact Sciences Corp.,Healthcare,Diagnostics & Research,USA,8810000000.0,,47.74,-0.0421,931919.0
363,EXC,Exelon Corp.,Utilities,Utilities - Regulated Electric,USA,36770000000.0,15.84,36.76,0.002,886082.0
364,EXEL,Exelixis Inc,Healthcare,Biotechnology,USA,5960000000.0,31.65,20.47,-0.0051,303626.0
365,EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,4940000000.0,27.99,30.42,-0.0179,82832.0
366,EXPD,"Expeditors International Of Washington, Inc.",Industrials,Integrated Freight & Logistics,USA,16770000000.0,25.17,118.75,0.0067,469593.0
367,EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services,USA,14640000000.0,20.73,110.5,0.0017000000000000001,432307.0
368,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,30430000000.0,32.32,143.74,0.008100000000000001,112244.0
369,F,Ford Motor Co.,Consumer Cyclical,Auto Manufacturers,USA,47490000000.0,12.26,11.9,-0.0218,20237742.0
370,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,35060000000.0,11.08,196.61,0.0163,244949.0
371,FAST,Fastenal Co.,Industrials,Industrial Distribution,USA,37360000000.0,32.32,65.25,-0.0116,570342.0
372,FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA,76780000000.0,46.98,53.45,0.0373,4418724.0
373,FDX,Fedex Corp,Industrials,Integrated Freight & Logistics,USA,60890000000.0,14.26,247.43,-0.0007000000000000001,292454.0
374,FE,Firstenergy Corp.,Utilities,Utilities - Regulated Electric,USA,22430000000.0,21.06,38.97,-0.0,370117.0
375,FERG,Ferguson Plc.,Industrials,Industrial Distribution,United Kingdom,41970000000.0,24.11,207.23,-0.005,211085.0
376,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,8610000000.0,10.95,15.75,-0.0038,702870.0
377,FI,"Fiserv, Inc.",Technology,Information Technology Services,USA,87180000000.0,27.89,149.0,-0.0089,440692.0
378,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,42400000000.0,,76.22,-0.0202,687275.0
379,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,25490000000.0,11.88,37.26,0.0003,439103.0
380,FIVN,Five9 Inc,Technology,Software - Infrastructure,USA,3700000000.0,,50.05,0.0002,437605.0
381,FL,Foot Locker Inc,Consumer Cyclical,Apparel Retail,USA,2210000000.0,,23.35,0.057999999999999996,1269321.0
382,FLEX,Flex Ltd,Technology,Electronic Components,USA,13500000000.0,14.62,33.61,0.013300000000000001,1336143.0
383,FLNC,Fluence Energy Inc,Utilities,Utilities - Renewable,USA,3100000000.0,,24.21,0.041299999999999996,3569292.0
384,FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,USA,4860000000.0,38.93,23.0,-0.0184,202650.0
385,FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,7200000000.0,25.38,42.07,0.0026,317555.0
386,FLS,Flowserve Corp.,Industrials,Specialty Industrial Machinery,USA,6500000000.0,27.84,49.36,-0.003,114678.0
387,FLYW,Flywire Corp,Technology,Software - Infrastructure,USA,2280000000.0,,18.39,0.0033,266503.0
388,FMC,FMC Corp.,Basic Materials,Agricultural Inputs,USA,7810000000.0,7.0,62.57,0.0131,281178.0
389,FNB,F.N.B. Corp.,Financial,Banks - Regional,USA,4970000000.0,11.18,13.81,0.0018,127427.0
390,FND,Floor & Decor Holdings Inc,Consumer Cyclical,Home Improvement Retail,USA,12260000000.0,55.09,114.53,0.0043,151408.0
391,FNF,Fidelity National Financial Inc,Financial,Insurance - Specialty,USA,13800000000.0,16.63,50.52,-0.0045000000000000005,106806.0
392,FOLD,Amicus Therapeutics Inc,Healthcare,Biotechnology,USA,2820000000.0,,9.52,-0.015,352802.0
393,FOUR,Shift4 Payments Inc,Technology,Software - Infrastructure,USA,4330000000.0,45.6,67.98,-0.0045000000000000005,422113.0
394,FOX,Fox Corporation,Communication Services,Entertainment,USA,14580000000.0,9.78,31.24,0.0034000000000000002,180375.0
395,FOXA,Fox Corporation,Communication Services,Entertainment,USA,15720000000.0,10.55,33.69,0.0024,417950.0
396,FR,"First Industrial Realty Trust, Inc.",Real Estate,REIT - Industrial,USA,6110000000.0,21.3,46.19,0.0009,127862.0
397,FRO,Frontline Plc,Energy,Oil & Gas Midstream,Cyprus,6490000000.0,9.89,29.17,0.0215,737971.0
398,FROG,JFrog Ltd,Technology,Software - Application,USA,3600000000.0,,33.17,0.006999999999999999,193778.0
399,FRSH,Freshworks Inc,Technology,Software - Application,USA,4110000000.0000005,,13.74,0.0381,1440277.0
400,FSK,FS KKR Capital Corp,Financial,Asset Management,USA,5660000000.0,8.14,20.19,0.0042,283613.0
401,FSLR,First Solar Inc,Technology,Solar,USA,30160000000.0,29.55,281.79,0.0182,2519788.0
402,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,USA,11250000000.0,55.3,26.09,0.009899999999999999,471619.0
403,FTNT,Fortinet Inc,Technology,Software - Infrastructure,USA,45810000000.0,39.09,59.96,-0.0227,1261614.0
404,FTRE,Fortrea Holdings Inc,Healthcare,Biotechnology,USA,2260000000.0,,25.3,-0.0098,392626.0
405,FTV,Fortive Corp,Technology,Scientific & Technical Instruments,USA,26340000000.0,29.57,74.83,-0.0139,229557.0
406,FULT,Fulton Financial Corp.,Financial,Banks - Regional,USA,3030000000.0,10.33,16.67,-0.005699999999999999,121146.0
407,FUTU,Futu Holdings Ltd ADR,Financial,Capital Markets,Hong Kong,7200000000.0,20.4,77.18,0.034,2531016.0
408,FWONK,Liberty Media Corp.,Communication Services,Entertainment,USA,16969999999.999998,55.29,72.33,0.0159,165039.0
409,FYBR,Frontier Communications Parent Inc,Communication Services,Telecom Services,USA,6450000000.0,239.17,25.95,0.014499999999999999,191657.0
410,G,Genpact Ltd,Technology,Information Technology Services,Bermuda,5980000000.0,9.5,33.21,-0.009000000000000001,224827.0
411,GDDY,Godaddy Inc,Technology,Software - Infrastructure,USA,19670000000.0,11.6,139.57,-0.004,351837.0
412,GDRX,GoodRx Holdings Inc,Healthcare,Health Information Services,USA,2680000000.0,,7.16,0.0021,154369.0
413,GE,GE Aerospace,Industrials,Aerospace & Defense,USA,182960000000.0,54.87,167.15,-0.0011,2024442.0
414,GEHC,GE HealthCare Technologies Inc,Healthcare,Health Information Services,USA,36240000000.0,23.17,79.39,-0.0058,343995.0
415,GEN,Gen Digital Inc,Technology,Software - Infrastructure,USA,15620000000.0,26.01,24.94,0.0022,1358293.0
416,GERN,Geron Corp.,Healthcare,Biotechnology,USA,2009999999.9999998,,3.38,-0.0273,3844189.0
417,GEV,GE Vernova Inc.,Utilities,Utilities - Renewable,USA,49230000000.0,,179.63,0.0124,1193729.0
418,GFI,Gold Fields Ltd ADR,Basic Materials,Gold,South Africa,14620000000.0,21.03,16.33,0.0178,571522.0
419,GFL,GFL Environmental Inc.,Industrials,Waste Management,Canada,11790000000.0,800.77,31.31,0.008,181509.0
420,GFS,GlobalFoundries Inc,Technology,Semiconductors,USA,28240000000.0,31.46,50.83,0.0016,564196.0
421,GGAL,Grupo Financiero Galicia ADR,Financial,Banks - Regional,Argentina,3960000000.0,5.37,33.2,0.0225,327641.0
422,GGB,Gerdau S.A. ADR,Basic Materials,Steel,Brazil,5000000000.0,6.28,3.62,0.0042,1747073.0
423,GH,Guardant Health Inc,Healthcare,Diagnostics & Research,USA,3250000000.0,,26.56,0.0406,1374149.0
424,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,80530000000.0,180.21,64.64,-0.0158,1490157.0
425,GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,USA,37460000000.0,15.23,66.36,-0.028399999999999998,2161777.0
426,GL,Globe Life Inc,Financial,Insurance - Life,USA,7630000000.0,7.9,82.69,0.011699999999999999,244241.0
427,GLBE,Global E Online Ltd,Consumer Cyclical,Internet Retail,Israel,5110000000.0,,30.72,0.044199999999999996,239567.0
428,GLNG,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,2730000000.0,,26.06,-0.0305,464133.0
429,GLPI,Gaming and Leisure Properties Inc,Real Estate,REIT - Specialty,USA,12090000000.0,16.41,44.52,-0.0029,272635.0
430,GLW,"Corning, Inc.",Technology,Electronic Components,USA,30880000000.0,50.52,36.04,-0.006500000000000001,595053.0
431,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,49480000000.0,5.3,43.37,-0.0169,4480226.0
432,GME,Gamestop Corporation,Consumer Cyclical,Specialty Retail,USA,7170000000.0,1104.01,23.41,0.2318,37026224.0
433,GMED,Globus Medical Inc,Healthcare,Medical Devices,USA,8900000000.0,104.37,65.88,0.0009,71884.0
434,GNRC,Generac Holdings Inc,Industrials,Specialty Industrial Machinery,USA,9030000000.0,41.06,148.99,0.0022,270883.0
435,GNTX,Gentex Corp.,Consumer Cyclical,Auto Parts,USA,7950000000.0,18.3,34.39,0.0009,139823.0
436,GNW,Genworth Financial Inc,Financial,Insurance - Life,USA,2730000000.0,33.56,6.23,-0.006,449336.0
437,GO,Grocery Outlet Holding Corp,Consumer Defensive,Grocery Stores,USA,2220000000.0,34.71,22.25,-0.016399999999999998,294898.0
438,GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping,Bermuda,2920000000.0,15.62,14.59,0.0059,621838.0
439,GOLD,Barrick Gold Corp.,Basic Materials,Gold,Canada,30360000000.0,20.98,17.3,0.016200000000000003,6930528.0
440,GOOG,Alphabet Inc,Communication Services,Internet Content & Information,USA,2197500000000.0,27.27,177.82,0.0085,5761620.0
441,GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,USA,2178100000000.0,27.03,176.25,0.0072,8752481.0
442,GPC,Genuine Parts Co.,Consumer Cyclical,Auto Parts,USA,20090000000.0,16.09,144.25,-0.0067,126515.0
443,GPK,Graphic Packaging Holding Co,Consumer Cyclical,Packaging & Containers,USA,8590000000.0,12.69,27.97,-0.0009,409944.0
444,GPN,"Global Payments, Inc.",Technology,Software - Infrastructure,USA,26160000000.0,20.35,102.48,-0.0027,428053.0
445,GPS,"Gap, Inc.",Consumer Cyclical,Apparel Retail,USA,7750000000.0,15.56,20.74,-0.011399999999999999,2153457.0
